"";"Methode";"alpha";"beta";"sigma2"
"489";"Bayes";-0,00157295371223996;0,963659152417216;0,509384769779706
"490";"Moy";-0,0536027300451272;0,68441446168508;0,0837324796554133
"491";"Reg. Lin.";-0,0689877534524294;1,07798025005306;0,0496083245388196
"492";"Reg. Lin. Sto.";-0,072774043974238;1,07805898196102;0,190771541057654
"493";"EM";0,00417365812695477;1,06310840562951;0,168304547300428
"494";"Boot";-0,00406519051718115;1,06259307153306;0,222537041825652
"495";"Bayes";0,00110413356148353;0,977545057966261;0,512189557253632
"496";"Moy";-0,0724172480282251;0,803691005610727;0,0695438796839686
"497";"Reg. Lin.";0,010899763355608;1,06335279460622;0,0503687760653516
"498";"Reg. Lin. Sto.";0,00664646852713083;1,05781026588146;0,19512932214353
"499";"EM";-0,021200268871875;1,04091152855477;0,0943530119657512
"500";"Boot";-0,0378828214521702;1,05341290144234;0,125104111136463
"501";"Bayes";-0,00251597172005064;0,938529499224012;0,397047937609661
"502";"Moy";-0,0287668355653435;0,735735287178865;0,0739589735897724
"503";"Reg. Lin.";-0,0551012593830221;1,04060969548267;0,0370321411134441
"504";"Reg. Lin. Sto.";-0,0549589681823843;1,0434692056261;0,10212159811655
"505";"EM";-0,0266801880540664;1,01435911199696;0,15571513290841
"506";"Boot";-0,0685646311036371;1,02666244273102;0,210264620399265
"507";"Bayes";-0,000597611674635134;0,976467021595681;0,503576263081665
"508";"Moy";-0,0680468998246847;0,567006522639267;0,0698727862824855
"509";"Reg. Lin.";-0,0693687197653472;1,01438896104056;0,0475932804527994
"510";"Reg. Lin. Sto.";-0,0694051007213618;1,01396731698886;0,177803889013289
"511";"EM";0,0139660614139907;0,926008599684584;0,172238069661177
"512";"Boot";0,0107382662168359;0,910265164338393;0,217805236205837
"513";"Bayes";-0,000729550984464188;0,972874008439918;0,513566280763007
"514";"Moy";-0,128685053179664;0,627246761635179;0,0677320804385892
"515";"Reg. Lin.";0,0375905334558312;0,933234899756702;0,0501177738990014
"516";"Reg. Lin. Sto.";0,0315469042820907;0,927854713735536;0,203900890269483
"517";"EM";0,0109991573395092;0,993904271134926;0,135087030967991
"518";"Boot";0,0548806862553429;0,974018588082902;0,173263232512535
"519";"Bayes";0,00182302506568133;0,965582300727832;0,463019375208924
"520";"Moy";0,0570278921566915;0,646150821354712;0,0713977174657414
"521";"Reg. Lin.";0,028388930010852;0,99513295871452;0,0455081568376509
"522";"Reg. Lin. Sto.";0,0275616945814104;0,993785815300939;0,153765655672141
"523";"EM";-0,013054558851113;1,0297709558511;0,190334460476459
"524";"Boot";-0,000914707734702416;1,03318661243818;0,247617833983545
"525";"Bayes";0,00171624471853007;0,971552189109238;0,552955518349316
"526";"Moy";-0,183496091973519;0,785522660142319;0,0755067912873018
"527";"Reg. Lin.";-0,0346648537245052;1,02728274733291;0,0536005546530672
"528";"Reg. Lin. Sto.";-0,0399004042144721;1,02879859586015;0,229079410492504
"529";"EM";-0,00738962965361323;0,960013630012204;0,13723477536517
"530";"Boot";-0,0341980118094082;0,945094526298931;0,183471447272651
"531";"Bayes";-0,00180074230657242;0,955699846520138;0,438875405583921
"532";"Moy";-0,0626766019097614;0,62281549269262;0,0687280705335037
"533";"Reg. Lin.";-0,0192556653764209;0,959416690184615;0,0448040667896151
"534";"Reg. Lin. Sto.";-0,0216947723023299;0,960288833118426;0,156508669503003
"535";"EM";-0,000919939914817068;1,01784305772175;0,119844101121866
"536";"Boot";0,00770794756560403;1,03203674591265;0,169772143604602
"537";"Bayes";-0,00177082510098308;0,951491249057882;0,437677645947589
"538";"Moy";-0,110661093675542;0,731793451773284;0,0727140023678846
"539";"Reg. Lin.";-0,00239061369275528;1,01768986882029;0,0422877001303974
"540";"Reg. Lin. Sto.";-0,00499556978965469;1,01945305274418;0,135386963486102
"541";"EM";0,0201771164990927;1,09520309489;0,120992020054096
"542";"Boot";0,0417913153481778;1,08579258322115;0,165367960310184
"543";"Bayes";-0,0018355271077005;0,972056259322642;0,459234096213121
"544";"Moy";0,175933414359876;0,660964100120757;0,0697751280738326
"545";"Reg. Lin.";0,0530453754853453;1,09016491208738;0,0419320972357251
"546";"Reg. Lin. Sto.";0,0560688234706952;1,09440975376438;0,134480057397441
"547";"EM";0,0713094757354232;1,03472224489942;0,15277343487959
"548";"Boot";0,192163531865105;1,03665640483237;0,185642934358788
"549";"Bayes";-0,00150121790812716;0,971039171736032;0,50653492699902
"550";"Moy";0,148888020583298;0,713120169932163;0,0727590136490109
"551";"Reg. Lin.";0,185498516654107;1,03803617359352;0,045973201414312
"552";"Reg. Lin. Sto.";0,190421296418302;1,03553579885885;0,16691667282502
"553";"EM";0,0467811280118445;0,986487977616098;0,183760799491651
"554";"Boot";0,112659712738368;1,0159723800954;0,239190920337796
"555";"Bayes";-9,70894274731156e-05;0,979127773162053;0,540898435542557
"556";"Moy";-0,0391175717384439;0,635807342499757;0,0717151021703771
"557";"Reg. Lin.";0,124503213517941;1,00132831426398;0,051380824999473
"558";"Reg. Lin. Sto.";0,118699587391601;1,00459689046441;0,211851053255819
"559";"EM";0,0247723532972962;1,0494773098668;0,204559528236184
"560";"Boot";0,070039284222689;1,0586152896792;0,264629319916881
"561";"Bayes";0,000937080226175376;0,973196979344825;0,553992341172225
"562";"Moy";-0,0727242972807488;0,668930012272332;0,0840551258241652
"563";"Reg. Lin.";0,0651466603049648;1,05255786904234;0,0552528618081181
"564";"Reg. Lin. Sto.";0,0639257395543371;1,05592155693839;0,243351596635296
"565";"EM";0,0842327038112505;0,986572733626418;0,21993446259796
"566";"Boot";0,223070146879024;1,01088448114818;0,29005190888295
"567";"Bayes";-0,00234270078367496;0,97530270230968;0,607102934300182
"568";"Moy";0,102269195214296;0,603535473725974;0,0839211895958393
"569";"Reg. Lin.";0,220925757811759;0,994479691001348;0,056178571807546
"570";"Reg. Lin. Sto.";0,230215337893078;0,988949047540568;0,253656453233624
"571";"EM";-0,0166959778816795;0,984590231134314;0,126785982738113
"572";"Boot";-0,0634636043128669;0,994993369207973;0,168656751281931
"573";"Bayes";-0,00312360730167838;0,952555124603977;0,445363891351815
"574";"Moy";0,138848118107385;0,701123817388561;0,0722582999862585
"575";"Reg. Lin.";-0,0441683758729284;0,988821760835741;0,0429645295451656
"576";"Reg. Lin. Sto.";-0,0432311851651727;0,99085984219043;0,141247168293706
"577";"EM";-0,0424986411720379;1,06598089515203;0,144450074540221
"578";"Boot";-0,100063383321981;1,04694963594482;0,192406539935155
"579";"Bayes";5,57904699401999e-05;0,961713424803552;0,494685874848859
"580";"Moy";-0,0449627525558067;0,796703898276352;0,0753725372014428
"581";"Reg. Lin.";-0,110739902423461;1,06921092151979;0,0454853687494738
"582";"Reg. Lin. Sto.";-0,106465414442912;1,07220032941641;0,164781629727946
"583";"EM";0,0118371078499453;1,09180511765081;0,135228903415349
"584";"Boot";0,0545956441870743;1,09164482806324;0,177438908270585
"585";"Bayes";-0,000530283151999275;0,964395836067146;0,479140598551025
"586";"Moy";0,0725227822453668;0,671383960047392;0,0758186963323223
"587";"Reg. Lin.";0,0308631673572259;1,09097950119141;0,044686704450239
"588";"Reg. Lin. Sto.";0,0361337553451162;1,08709233197627;0,154966318991443
"589";"EM";0,0254627140694619;0,977721696261296;0,085997876163378
"590";"Boot";0,0763228472282359;0,963453200431657;0,120509498503017
"591";"Bayes";0,000456084180433331;0,930051003867506;0,358778470210376
"592";"Moy";0,115613203052932;0,671923726467484;0,068917053607777
"593";"Reg. Lin.";0,0663999093183637;0,976315858847835;0,0354759672940623
"594";"Reg. Lin. Sto.";0,0673100047584807;0,975086504458429;0,0933541685137847
"595";"EM";0,00336628429135536;0,995611546481557;0,136123176666408
"596";"Boot";0,0406978063247109;0,972402392985994;0,185225612947834
"597";"Bayes";-0,00202446447649044;0,965742273144765;0,464221859656237
"598";"Moy";0,0190843209555098;0,719788992988077;0,0653505672090846
"599";"Reg. Lin.";0,0087622592381902;0,995468736426365;0,0447727988165092
"600";"Reg. Lin. Sto.";0,00982488585471762;0,99434691791106;0,155991152411872
